username,name,role,linked_patient_id,medical_emergency,password_hash,last_login
admin,Admin User,admin,,"Emergency Contact: ABC, Phone: 9876543210",scrypt:32768:8:1$d1GTqAcmXMfMPriJ$f69fed7286940be6698ebe759deb372c019ae33775a1910c1079b07543a2e755180b31e2c585b8e1eeed54749f18ed7d21a58e275310a8669a880e3a06b02b66,2026-09-11T14:54:22+00:00
dr_sharma,Dr. Rajesh Sharma,doctor,,"Blood Group: O+, Contact: 9811223344",scrypt:32768:8:1$XyFLfxfSPcFq9GGN$ca97eadca158334badfd0f15d879de87a5e2a2659aedfcdc4d02324d01e7966ce20cef6983f6ef7a1cb40300b8158872266a7539b984065c750473c0b49e761e,2026-09-11T14:55:31+00:00
dr_neha,Dr. Neha Gupta,doctor,,"Emergency Contact: Vikas, Phone: 9844556677",scrypt:32768:8:1$7Dc3515jlcUaK1jD$6026bdacb8d948d7aa3026d236d6247ff6d00780eda0171f7c26a92bde83e60881e18e53fab931e08588701c7a7e3f109c90a457c98a810becb75aaa0db9e61b,
staff,Staff User,staff,,"Emergency Contact: PQR, Phone: 9988776655",scrypt:32768:8:1$dNC3a08ekRLMs3ys$a5199df238c2156a93e7e561004097ff91642a6b7352967eca1b7328dedd341fcb3214e4f4bda9223ed0e4ede529e3239d5dbb1aee649916288906b101f268a2,
PAT-1001,Sunita Rao,patient,PAT-1001,"Contact: Suresh (Son), Phone: 9871122334",scrypt:32768:8:1$h4I4Ft6Oa1cbD5HS$6740e80caced2b20d8696b3669b368797f0fb0eee509a1680d2d753b0662bdb315374ce9efb1cc5043da3e6a62a6ae9922a18c5d744304041ebcfba46793884b,2026-09-05T16:01:04+00:00
PAT-1002,Vikram Malhotra,patient,PAT-1002,"Contact: Meena (Wife), Phone: 9819988776",scrypt:32768:8:1$yDcQTaPglMvnkM77$21ee03fdc74c5fda6b56142a707bb8868f2c9236eb21ec9d1bd8bbe0f2d318c3cbacfd46584544f4ccc7c85fc207c099842fa2feb4c0c5aaa1a846b0c49fbd91,
PAT-1003,Kavita Joshi,patient,PAT-1003,"Contact: Rakesh (Spouse), Phone: 9765432109",scrypt:32768:8:1$qgtsdTGKkZ90Nllx$f9839dec51a2e2557ad88ba3ac6d81d8d8fcb8b5c5b063e3b32b7f3389e65ccc6df7bdf5fc7c50c2ea33407a03702e6a6697a9e941385ff2c394ffeea90e1f4a,
PAT-1004,Arjun Nair,patient,PAT-1004,"Contact: Dr. Iyer, Phone: 9823019283",scrypt:32768:8:1$9v3vCASyLN7fUSSm$412c5adf1bad35494aa76c39d478fe1c5d7d8aefde02d51c3af914bafa157bb9ce6b2bce93962d4489b5c93e1fdd093466ce0784521d98060ab18b5ef8d4d80e,
PAT-1005,Fatima Sheikh,patient,PAT-1005,"Contact: Tariq (Brother), Phone: 9890123456",scrypt:32768:8:1$EQn5nrtE945FDDIl$72ee4dc7d3054a2d74bcfb419f9cd4db66656ff1a9b0192adc48d07e4319e10154ede0188777250b3f31dad5132e43143cc95cc7420293e63474a2e45b9d0fed,
PAT-1006,Rahul Verma,patient,PAT-1006,"Contact: Anjali (Spouse), Phone: 9812345670",scrypt:32768:8:1$fq8ae1DuZmTT1Lur$57845d19d5afd2e0594dc169e9eb315b99b7ac398afc5c1e5c01335ec802f49020642296ce27506808de9074459c7b5edce8add21d0b9996a0fa712b1d8fff68,
